"contrast","Treatment","estimate","SE","df","t.ratio","p.value","feature","note"
"Early Post - Late Post","U",0.00441231069198209,0.0012268706771133,35.8615940792698,3.59639428530788,0.00289195876757436,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",0.00355820396767805,0.00149794001161608,34.1188385912019,2.37539817354849,0.0349345799279795,"dpncc_8_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-356.884055308049,91.9459100963501,1476.629059725,-3.88145655346791,0.000130091433792448,"e_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",616.550995824757,111.880404015419,1475.67509765982,5.5108041595898,0.0000000841868619036743,"e_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-356.89560707558,87.3570990241398,1476.05859489627,-4.08547915467016,0.0000695243498612519,"e_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",973.435051132806,90.9923124216048,1475.54405307711,10.6979922284256,2.67312597947349e-25,"e_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",-0.0115517675311594,58.879357724133,1476.60832358813,-0.000196193844119068,0.999843486462923,"e_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-973.446602900338,84.3321415623629,1473.26628692391,-11.5430082156811,8.60640659431225e-29,"e_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",-423.05986874888,130.086073178469,1477.5046621239,-3.25215342743469,0.00702709393376449,"e_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",-347.936448845184,162.89875203086,1469.29611345924,-2.13590616568547,0.065458577967371,"e_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",8.45818666295958,110.661104290621,1419.66050500681,0.0764332392775195,0.939085195448752,"e_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",75.1234199036965,165.299221849029,1477.97871174726,0.454469289470147,0.779469393343817,"e_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",431.51805541184,143.161386709361,1388.82478302325,3.01420701021767,0.00786965708648629,"e_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",356.394635508143,176.485359571612,1376.7918575208,2.01940056882469,0.065458577967371,"e_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",0.280382168598561,1.45290166000467,1477.92785905006,0.192980830235722,0.847000496428433,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",16.0720852834485,1.76807981380493,1477.228667618,9.09013561376574,4.64491034871958e-19,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",13.091932712761,1.38049590953149,1477.59339896142,9.48349982232404,1.88723639083317e-20,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",15.79170311485,1.43797644642456,1477.06499619748,10.981892752218,1.50567476437718e-26,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",12.8115505441624,0.930426154685651,1477.93881603971,13.769551167111,6.73816433597164e-40,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-2.98015257068754,1.33283281288319,1473.51252850099,-2.2359537834613,0.0306048233103892,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",0.29255711131086,2.05544954961026,1477.62047539476,0.142332421326679,0.88683684285761,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",4.50313439116139,2.57238963794006,1424.14453643112,1.75056465970196,0.160683617666892,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",-3.04979986125379,1.74622283131229,1243.5309066729,-1.74651241901463,0.160683617666892,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","U",4.21057727985053,2.61162283608461,1475.23428122643,1.61224554390982,0.160683617666892,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","U",-3.34235697256465,2.25833830555812,1153.28329301991,-1.48000720899017,0.166973316048819,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","U",-7.55293425241518,2.78360666867274,1121.85580498205,-2.71336260881158,0.0405744566499034,"gfcc_0_mean","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","S",-13.2704460189406,2.65807181246123,1477.99698661926,-4.99250846298727,0.00000400041970987317,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","S",-2.10119302195391,3.23478213431135,1477.48375708606,-0.649562454196387,0.516075859987142,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","S",-10.1671460613722,2.52566265515576,1477.79533242348,-4.02553604719041,0.000119453886831769,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Mid Post","S",11.1692529969867,2.63084030276498,1477.32804989711,4.24550778899347,0.0000695090625137018,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Early Post - Late Post","S",3.10329995756841,1.70222610215147,1477.99955992647,1.82308328702403,0.0821912376730771,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Mid Post - Late Post","S",-8.06595303941827,2.43852413632268,1473.57390439311,-3.30771917295099,0.00144488557441755,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Early Post","U",19.4985564823871,3.76036767793329,1477.13260162586,5.18527924724201,0.0000014734830282722,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Mid Post","U",23.032423266442,4.70536478401745,1408.14697638482,4.89492830495852,0.00000329028827808186,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
"Pre - Late Post","U",9.99334898391442,3.19356286277849,1191.27720783205,3.12921630583465,0.00359059162731095,"gfcc_1_std","BH-adjusted; exploratory post-hoc"
